year,constituencyNumber,district,constituency,winner,runnerUp,winnerVotes,runnerUpVotes,marginVotes,marginPercentage
2001,182,Dhaka,Dhaka3,4P,AL,169980,89375,80605,30.42
2001,183,Dhaka,Dhaka4,4P,AL,151368,123002,28366,9.75
2001,184,Dhaka,Dhaka5,4P,AL,211440,166832,44608,11.40
2001,185,Dhaka,Dhaka6,4P,AL,156358,116976,39382,13.95
2001,186,Dhaka,Dhaka7,4P,AL,123686,98229,25457,11.20
2001,187,Dhaka,Dhaka8,4P,AL,89789,88697,1092,0.59
2001,188,Dhaka,Dhaka9,4P,AL,126985,86908,40077,18.08
2001,189,Dhaka,Dhaka10,4P,AL,94995,73043,21952,12.62
2001,190,Dhaka,Dhaka11,4P,AL,193945,163660,30285,8.08
2001,191,Dhaka,Dhaka12,4P,AL,139788,98062,41726,17.04
2001,192,Dhaka,Dhaka13,4P,AL,106007,76495,29512,16.08
2001,193,Gazipur,Gazipur1,AL,4P,165281,141151,24130,7.61
2001,194,Gazipur,Gazipur2,AL,Others,159125,89845,69280,18.58
2001,195,Gazipur,Gazipur3,4P,AL,58518,58133,385,0.31
2001,196,Gazipur,Gazipur4,AL,4P,80675,72082,8593,5.46
2001,197,Narsingdi,Narshingdi1,4P,AL,101313,84889,16424,8.55
2001,198,Narsingdi,Narshingdi2,4P,AL,67379,46342,21037,16.38
2001,199,Narsingdi,Narshingdi3,4P,AL,61453,44961,16492,13.20
2001,200,Narsingdi,Narshingdi4,4P,AL,102714,92564,10150,4.93
2001,201,Narsingdi,Narshingdi5,AL,4P,117096,99509,17587,7.97
2001,202,Narayanganj,Narayanganj1,4P,AL,89136,78904,10232,5.90
2001,203,Narayanganj,Narayanganj2,4P,AL,89757,64482,25275,16.18
2001,204,Narayanganj,Narayanganj3,4P,AL,84001,54683,29318,20.02
2001,205,Narayanganj,Narayanganj4,4P,AL,137323,106104,31219,12.19
2001,206,Narayanganj,Narayanganj5,4P,AL,73013,62232,10781,6.35
2001,207,Rajbari,Rajbari1,4P,AL,95266,85057,10209,5.17
2001,208,Rajbari,Rajbari2,4P,AL,148765,127538,21227,7.42
2001,209,Faridpur,Faridpur1,AL,4P,126858,119912,6946,2.79
2001,210,Faridpur,Faridpur2,4P,AL,86450,74474,11976,7.38
2001,211,Faridpur,Faridpur3,4P,AL,114618,69544,45074,24.11
2001,212,Faridpur,Faridpur4,AL,Others,56231,52763,3468,3.07
2001,213,Faridpur,Faridpur5,Others,AL,64297,51662,12635,10.58
2001,214,Gopalganj,Gopalganj1,AL,4P,145391,20136,125255,67.64
