year,constituencyNumber,district,constituency,latitude,longitude,winner,second,winnerVotes,secondVotes,margin,difference,magnitude
2008,213,Faridpur,FARIDPUR-3,23.596711,89.859724,MOHAJOTE,Others,122047,78308,43739,18.85,1
2008,214,Faridpur,FARIDPUR-4,23.506071,90.031385,MOHAJOTE,Others,157491,76553,80938,33.94,3
2008,265,Feni,FENI-1,23.117628,91.454115,4P,MOHAJOTE,114482,58551,55931,31.78,23
2008,266,Feni,FENI-2,23.0077,91.448622,4P,MOHAJOTE,120297,86713,33584,16,21
2008,267,Feni,FENI-3,22.911598,91.39781,4P,MOHAJOTE,134939,93630,41309,17.44,21
2008,29,Gaibandha,GAIBANDHA-1,25.492868,89.554653,MOHAJOTE,4P,160008,72093,87915,37.46,3
2008,30,Gaibandha,GAIBANDHA-2,25.391179,89.582119,MOHAJOTE,4P,166726,48682,118044,53.14,5
2008,31,Gaibandha,GAIBANDHA-3,25.311753,89.381618,MOHAJOTE,4P,179095,76460,102635,36.04,3
2008,32,Gaibandha,GAIBANDHA-4,25.170145,89.400845,AL,4P,145201,70111,75090,26.87,12
2008,33,Gaibandha,GAIBANDHA-5,25.242212,89.579372,AL,JP,98461,94143,4318,1.95,10
2008,194,Gazipur,GAZIPUR-1,24.079067,90.284071,MOHAJOTE,4P,261304,173835,87469,19.87,1
2008,195,Gazipur,GAZIPUR-2,23.993781,90.403547,MOHAJOTE,4P,264710,139278,125432,30.26,3
2008,196,Gazipur,GAZIPUR-3,24.122942,90.435133,MOHAJOTE,4P,236944,108915,128029,36.48,3
2008,197,Gazipur,GAZIPUR-4,24.181836,90.583448,MOHAJOTE,4P,110682,64466,46216,25.97,2
2008,198,Gazipur,GAZIPUR-5,24.000054,90.547743,MOHAJOTE,4P,125903,74899,51004,24.8,2
2008,215,Gopalganj,GOPALGANJ-1,23.246393,89.869337,MOHAJOTE,4P,183234,9986,173248,85.35,8
2008,216,Gopalganj,GOPALGANJ-2,23.093628,89.817152,MOHAJOTE,4P,186574,7643,178931,90.71,9
2008,217,Gopalganj,GOPALGANJ-3,23.016548,90.005293,MOHAJOTE,4P,158958,4451,154507,94.02,9
2008,239,Habiganj,HABIGANJ-1,24.492148,91.534939,MOHAJOTE,4P,152080,79488,72592,30.45,3
2008,240,Habiganj,HABIGANJ-2,24.532132,91.350918,AL,4P,122025,67059,54966,27,12
2008,241,Habiganj,HABIGANJ-3,24.369615,91.38937,MOHAJOTE,4P,147827,57260,90567,42.96,4
2008,242,Habiganj,HABIGANJ-4,24.21691,91.466274,MOHAJOTE,4P,155896,124788,31108,10.92,1
2008,138,Jamalpur,JAMALPUR-1,25.227305,89.818325,MOHAJOTE,4P,115722,70680,45042,18.95,1
2008,139,Jamalpur,JAMALPUR-2,25.110471,89.733181,MOHAJOTE,4P,108847,62635,46212,25.82,2
2008,140,Jamalpur,JAMALPUR-3,24.906367,89.7579,MOHAJOTE,4P,171926,99113,72813,26.67,2
2008,141,Jamalpur,JAMALPUR-4,24.761797,89.845791,MOHAJOTE,4P,126433,85955,40478,18.95,1
2008,142,Jamalpur,JAMALPUR-5,24.854042,90.035305,MOHAJOTE,4P,198899,88118,110781,38.01,3
2008,85,Jessore,JESSORE-1,23.04688,88.935499,MOHAJOTE,4P,94556,88700,5856,3.19,0
2008,86,Jessore,JESSORE-2,23.203485,89.059095,MOHAJOTE,4P,154875,133244,21631,7.39,0
2008,87,Jessore,JESSORE-3,23.139097,89.175825,MOHAJOTE,4P,166192,122549,43643,14.76,1
2008,88,Jessore,JESSORE-4,23.207272,89.304914,MOHAJOTE,4P,102258,97903,4355,1.96,0
2008,89,Jessore,JESSORE-5,23.015284,89.237623,MOHAJOTE,4P,119914,103739,16175,7.09,0
2008,90,Jessore,JESSORE-6,22.891358,89.265089,MOHAJOTE,4P,166994,122267,44727,15.33,1
2008,125,Jhalokathi,JHALOKATI-1,22.551879,90.141249,MOHAJOTE,4P,64525,43098,21427,18.71,1
2008,126,Jhalokathi,JHALOKATI-2,22.657106,90.198927,MOHAJOTE,4P,104444,73851,30593,16.52,1
2008,81,Jhenaidah,JHENAIDAH-1,23.674713,89.24449,MOHAJOTE,4P,109050,85899,23151,11.25,1
2008,82,Jhenaidah,JHENAIDAH-2,23.610554,89.081068,MOHAJOTE,4P,161062,146736,14326,4.57,0
2008,83,Jhenaidah,JHENAIDAH-3,23.358646,88.903913,MOHAJOTE,JIB,118357,81739,36618,13.98,1
2008,84,Jhenaidah,JHENAIDAH-4,23.411587,89.151106,MOHAJOTE,4P,105852,101175,4677,2.23,0
2008,34,Joypurhat,JOYPURHAT-1,25.176359,89.01515,4P,MOHAJOTE,164820,130529,34291,11.43,21
2008,35,Joypurhat,JOYPURHAT-2,25.055745,89.12776,4P,MOHAJOTE,116881,113721,3160,1.35,20
2008,298,Khagrachhari,PARBATTYA KHAGRACHHARI-1,23.120154,91.957912,MOHAJOTE,Others,122803,93358,29445,10.52,1
2008,99,Khulna,KHULNA-1,22.548074,89.488735,MOHAJOTE,4P,120801,68420,52381,26.73,2
2008,100,Khulna,KHULNA-2,22.815428,89.547987,4P,MOHAJOTE,90950,89280,1670,0.91,20
2008,101,Khulna,KHULNA-3,22.93816,89.451857,AL,4P,74678,58177,16501,11.39,11
2008,102,Khulna,KHULNA-4,22.905273,89.634304,MOHAJOTE,4P,109216,97547,11669,5.39,0
2008,103,Khulna,KHULNA-5,22.852133,89.385939,MOHAJOTE,4P,144600,105312,39288,15.36,1
