year,constituencyNumber,district,constituency,latitude,longitude
2008,233,Sylhet,SYLHET-5,25.005973,92.284756
2008,234,Sylhet,SYLHET-6,24.826625,92.13644
2008,235,Maulvibazar,MAULVIBAZAR-1,24.654506,92.147427
2008,236,Maulvibazar,MAULVIBAZAR-2,24.524636,92.065029
2008,237,Maulvibazar,MAULVIBAZAR-3,24.47965,91.798611
2008,238,Maulvibazar,MAULVIBAZAR-4,24.30455,91.754665
2008,239,Habiganj,HABIGANJ-1,24.492148,91.534939
2008,240,Habiganj,HABIGANJ-2,24.532132,91.350918
2008,241,Habiganj,HABIGANJ-3,24.369615,91.38937
2008,242,Habiganj,HABIGANJ-4,24.21691,91.466274
2008,243,Brahmanbaria,BRAHMANBARIA-1,24.16179,91.169844
2008,244,Brahmanbaria,BRAHMANBARIA-2,24.132968,91.083326
2008,245,Brahmanbaria,BRAHMANBARIA-3,24.000054,91.173964
2008,246,Brahmanbaria,BRAHMANBARIA-4,23.836857,91.165724
2008,247,Brahmanbaria,BRAHMANBARIA-5,23.872025,91.014662
2008,248,Brahmanbaria,BRAHMANBARIA-6,23.816757,90.87184
2008,249,Comilla,COMILLA-1,23.536291,90.796108
2008,250,Comilla,COMILLA-2,23.644524,90.809841
2008,251,Comilla,COMILLA-3,23.709924,90.977383
2008,252,Comilla,COMILLA-4,23.616845,90.996609
2008,253,Comilla,COMILLA-5,23.609295,91.120205
2008,254,Comilla,COMILLA-6,23.455688,91.186123
2008,255,Comilla,COMILLA-7,23.443089,90.94717
2008,256,Comilla,COMILLA-8,23.359907,91.035061
2008,257,Comilla,COMILLA-9,23.178239,91.087246
2008,258,Comilla,COMILLA-10,23.264057,91.17239
2008,259,Comilla,COMILLA-11,23.163089,91.26852
2008,260,Chadpur,CHANDPUR-1,23.366211,90.869093
2008,261,Chadpur,CHANDPUR-2,23.38638,90.700178
2008,262,Chadpur,CHANDPUR-3,23.219893,90.683699
2008,263,Chadpur,CHANDPUR-4,23.146674,90.75923
2008,264,Chadpur,CHANDPUR-5,23.229989,90.945997
2008,265,Feni,FENI-1,23.117628,91.454115
2008,266,Feni,FENI-2,23.0077,91.448622
2008,267,Feni,FENI-3,22.911598,91.39781
2008,268,Noakhali,NOAKHALI-1,23.031715,91.015835
2008,269,Noakhali,NOAKHALI-2,23.00138,91.175137
2008,270,Noakhali,NOAKHALI-3,22.943218,91.098232
2008,271,Noakhali,NOAKHALI-4,22.783779,91.05978
2008,272,Noakhali,NOAKHALI-5,22.804035,91.197109
2008,273,Noakhali,NOAKHALI-6,22.250971,91.131191
2008,274,Laxmipur,LAKSHMIPUR-1,23.098681,90.870466
2008,275,Laxmipur,LAKSHMIPUR-2,22.976095,90.74687
2008,276,Laxmipur,LAKSHMIPUR-3,22.941954,90.910292
2008,277,Laxmipur,LAKSHMIPUR-4,22.772383,90.869093
2008,278,Chittagong,CHITTAGONG-1,22.798971,91.556911
2008,279,Chittagong,CHITTAGONG-2,22.692586,91.782131
2008,280,Chittagong,CHITTAGONG-3,22.614011,91.631069
2008,281,Chittagong,CHITTAGONG-4,22.522706,91.809597
2008,282,Chittagong,CHITTAGONG-5,22.60894,91.916714
2008,283,Chittagong,CHITTAGONG-6,22.47703,92.054043
2008,284,Chittagong,CHITTAGONG-7,22.393253,91.960659
2008,285,Chittagong,CHITTAGONG-8,22.383095,91.850796
2008,286,Chittagong,CHITTAGONG-9,22.334833,91.787624
2008,287,Chittagong,CHITTAGONG-10,22.261139,91.790371
2008,288,Chittagong,CHITTAGONG-11,22.248429,92.012844
2008,289,Chittagong,CHITTAGONG-12,22.215377,91.883755
2008,290,Chittagong,CHITTAGONG-13,22.159427,92.117214
2008,291,Chittagong,CHITTAGONG-14,22.027092,92.103481
2008,292,Chittagong,CHITTAGONG-15,21.999082,91.957912
2008,293,Chittagong,CHITTAGONG-16,22.494795,91.4855
2008,294,Cox's Bazar,COX'S BAZAR-1,21.790107,92.01519
2008,295,Cox's Bazar,COX'S BAZAR-2,21.601258,91.927299
2008,296,Cox's Bazar,COX'S BAZAR-3,21.488852,92.125053
2008,297,Cox's Bazar,COX'S BAZAR-4,21.079375,92.179985
2008,298,Khagrachhari,PARBATTYA KHAGRACHHARI-1,23.120154,91.957912
2008,299,Rangmati,PARBATTYA RANGAMATI-1,22.766051,92.273369
2008,300,Bandarban,PARBATTYA BANDARBAN-1,21.884438,92.386379
,,,,,
,,,,,
